2018-06-08,WOJNY,Kazik + Zdunek Ensemble,15,2,11,['Other']
2018-06-08,HUNGER,Florence And The Machine,14,6,12,"['baroque pop', 'pop', 'uk alternative pop']"
2018-06-08,KANTERSTRAJK,Fisz Emade Tworzywo,17,11,13,['polish alternative']
2018-06-08,ROCK AND ROLL,Led Zeppelin,20,2,14,"['album rock', 'classic rock', 'hard rock', 'rock']"
2018-06-08,PRZYJDŹ W TAKĄ NOC,Krzysztof Zalewski,12,27,15,"['polish alternative rock', 'polish pop']"
2018-06-08,JESZCZE W ZIELONE GRAMY,Daria Zawiałow,13,29,16,"['polish alternative', 'polish indie', 'polish pop']"
2018-06-08,OBŁĄKANY OBŁOK,Strachy na Lachy & Itsmisslilly,11,14,17,['Other']
2018-06-08,PORUBA,Jaromir Nohavica,16,9,18,"['czech folk', 'czech rock', 'czech singer-songwriter']"
2018-06-08,SHADOW OF YOUR LOVE,Guns N' Roses,18,6,19,"['glam metal', 'hard rock', 'rock']"
2018-06-08,IMMIGRANT SONG,Led Zeppelin,19,29,20,"['album rock', 'classic rock', 'hard rock', 'rock']"
2018-06-08,"DOBRZE, ŻE CIĘ MAM",Kortez,21,12,21,"['polish alternative', 'polish pop']"
2018-06-08,CAŁĄ CISZĘ / POKÓJ NOCNY,Król,24,13,22,"['latin', 'reggaeton', 'reggaeton colombiano']"
2018-06-08,CARRY FIRE,Robert Plant,26,4,23,"['album rock', 'art rock', 'blues rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'roots rock', 'symphonic rock', 'uk americana']"
2018-06-08,FOUR OUT OF FIVE,Arctic Monkeys,22,4,24,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']"
2018-06-08,LOVE IS BIGGER THAN ANYTHING IN ITS WAY,U2,25,5,25,"['irish rock', 'permanent wave', 'rock']"
2018-06-08,MATTEO,Basia,27,8,26,"['smooth jazz', 'sophisti-pop']"
2018-06-08,THE GLORY,The Cranberries,23,22,27,"['irish rock', 'pop rock']"
2018-06-08,JESZCZE CIĘ NIE MA,Tulia,N,1,28,['polish folk']
2018-06-08,LOW,Lenny Kravitz,N,1,29,"['permanent wave', 'pop rock', 'rock']"
2018-06-08,HONOLULU,Uniatowski,N,1,30,[]
2018-06-15,POCZĄTEK,Męskie Granie Orkiestra 2018,1,5,1,"['polish alternative', 'polish pop']"
2018-06-15,MAŁOMIASTECZKOWY,Dawid Podsiadło,2,3,2,"['polish alternative', 'polish pop', 'talent show']"
2018-06-15,KAPITAN POLSKA,Lao Che,3,11,3,"['polish alternative', 'polish alternative rock', 'polish reggae']"
2018-06-15,TAMAGOTCHI,Taconafide & Dawid Podsiadło,6,7,4,['Other']
2018-06-15,CHWYTAJ DZIEŃ,Kayah i Zbigniew Wodecki,7,5,5,['Other']
2018-06-15,SAFARI SONG,Greta Van Fleet,4,6,6,"['modern blues rock', 'modern hard rock', 'rock']"
2018-06-15,WOJNY,Kazik + Zdunek Ensemble,11,3,7,['Other']
2018-06-15,GDYBYM MIAŁ KOGOŚ,Kazik & Kwartet ProForma,5,17,8,"['classic polish pop', 'poezja spiewana']"
2018-06-15,JA PAS!,Nosowska,8,8,9,"['polish alternative', 'polish pop']"
2018-06-15,OD JOKOHAMY DO FUJISAWY,Artur Andrus,9,12,10,"['classic polish pop', 'poezja spiewana']"
