,Unnamed: 0,artist_uri,genres
186,186,2d3VHzlOEwXvmBdS4pzOPL,"['country', 'country dawn', 'dance pop']"
187,187,1Oa0bMld0A3u5OTYfMzp5h,"['rap', 'g funk', 'gangster rap', 'hip hop', 'pop rap', 'west coast rap']"
188,188,5LfGQac0EIXyAN8aUwmNAQ,"['punk', 'rock', 'alternative metal', 'permanent wave', 'skate punk', 'socal pop punk']"
189,189,6OqQbeNe7Pi7Zi7SNTi9ko,"['country', 'queer country']"
190,190,3IhWQSrLj8EJjdvjFTpCyo,"['country', 'country rock', 'oklahoma country']"
191,191,6O74knDqdv3XaWtkII7Xjp,"['r&b', 'boy band', 'contemporary r&b', 'urban contemporary', 'new jack swing']"
192,192,5UloVKzUNJcjORzhhTWWiJ,['karaoke']
193,193,4wLXwxDeWQ8mtUIRPxGiD6,"['latin', 'salsa', 'tropical', 'latin pop', 'modern salsa']"
194,194,0AkpPlFLnr0VQwZQeMGht0,"['disco house', 'filter house', 'vocal house']"
195,195,0GQkTwFb7D3ePIpnxwYavf,[]
196,196,5vngPClqofybhPERIqQMYd,"['country', 'contemporary country', 'country road', 'country rock']"
197,197,6HEyD6mSqQQKMVilyU31ZY,"['r&b', 'contemporary r&b', 'neo soul', 'urban contemporary']"
198,198,0HLOP0AdsaWe5Pt5TNueGC,"['country', 'alberta country', 'canadian country', 'contemporary country', 'country dawn', 'country road', 'canadian contemporary country']"
199,199,7352aRY2mqSxBZwzUb6LmA,"['r&b', 'rap', 'dance pop', 'hip hop', 'hip pop', 'pop rap', 'urban contemporary', 'southern hip hop']"
200,200,1Y8cdNmUJH7yBTd9yOvr5i,"['pop', 'r&b', 'dance pop', 'girl group', 'hip pop', 'urban contemporary']"
201,201,0GQkTwFb7D3ePIpnxwYavf,[]
202,202,3tCGqGQclabrpQfcHRmDtK,['karaoke']
203,203,6lHL3ubAMgSasKjNqKb8HF,"['r&b', 'contemporary r&b', 'dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop r&b', 'urban contemporary']"
204,204,43sZBwHjahUvgbx1WNIkIz,"['post-grunge', 'rock', 'alternative metal', 'nu metal', 'pop rock']"
205,205,1G9G7WwrXka3Z1r7aIDjI7,"['rap', 'hip hop', 'pop rap', 'atl hip hop', 'dirty south rap', 'southern hip hop', 'old school atlanta hip hop']"
206,206,3Ngh2zDBRPEriyxQDAMKd1,"['post-grunge', 'neo mellow', 'pop rock']"
207,207,25NQNriVT2YbSW80ILRWJa,"['country', 'contemporary country', 'country dawn', 'country road', 'dance pop', 'pop rock']"
208,208,5gznATMVO85ZcLTkE9ULU7,"['rock', 'permanent wave', 'pop rock']"
209,209,2DlGxzQSjYe5N6G9nkYghR,"['pop', 'dance pop', 'pop rap', 'urban contemporary']"
210,210,6Ff53KvcvAj5U7Z1vojB5o,"['boy band', 'dance pop', 'post-teen pop']"
211,211,3nFkdlSjzX9mRTtwJOzDYB,"['rap', 'hip hop', 'east coast hip hop']"
212,212,2RTUTCvo6onsAnheUk3aL9,"['post-grunge', 'alternative metal', 'nu metal', 'pop rock']"
